Name,Coefficient,Coefficient_std_error,Coefficient_P_value,Phenotype
PreOPC_3,2.817501404679823e-07,2.3748187400427998e-07,0.1177308186404406,20001_1061
Mic_active_2,7.832208159877223e-08,6.68038731130872e-08,0.1205145831790917,20001_1061
OPC_3,1.4647981088772486e-07,1.261334169342736e-07,0.1227582293342159,20001_1061
Mic_2,6.660438500594654e-08,5.739329637469157e-08,0.122924544952472,20001_1061
Gbl_HB_5,8.345286775762296e-08,7.949182183374568e-08,0.1468982311067895,20001_1061
Rgl_CB_VZ,1.4131507882641866e-07,1.48086939515244e-07,0.1699732298282006,20001_1061
Mic_active_1,5.122529670433936e-08,5.621281205585214e-08,0.181075405132746,20001_1061
Gbl_CB_VZ,6.185154886741873e-08,7.011741807674731e-08,0.188857609052397,20001_1061
Neur_HB_IPC_1,5.740764482135629e-08,6.540566403174458e-08,0.1900487346146256,20001_1061
Rgl_Tel_ventral,9.820306117232997e-08,1.2627340569459234e-07,0.2183724007589165,20001_1061
Neur_Int_MGE,9.5872834725456e-08,1.2538333632453242e-07,0.2222436357456865,20001_1061
VLMC_SLC6A13_2,5.642958120698085e-08,7.624246338871484e-08,0.2296095765502649,20001_1061
Neur_DRG_2,1.1780852833344957e-07,1.670639381449297e-07,0.2403521290998727,20001_1061
VLMC_SLC6A13_3,4.306850647781278e-07,6.167206581970439e-07,0.2424800845340493,20001_1061
Gbl_late,4.233238463489305e-07,6.532498197841449e-07,0.2584835825580496,20001_1061
COP,5.6658793717775384e-08,8.795513810450239e-08,0.2597299015983237,20001_1061
Gbl_HB_3,5.7179588589324167e-08,9.104610868973685e-08,0.264992500079997,20001_1061
VZ_prog,6.045827173294911e-08,9.655373540989013e-08,0.2656043728441675,20001_1061
Neur_late,1.2910677080091566e-07,2.2559263859800006e-07,0.2835592191400602,20001_1061
Neur_MB_Glut_NBL_2,4.4918754047830145e-08,8.143054398241898e-08,0.2906042081493261,20001_1061
Neur_HB_Glut_2,7.458037156053569e-08,1.371727250776976e-07,0.2933250677076608,20001_1061
Neur_Tel_Glut_NBL_2,4.104368834446728e-08,8.48575525878224e-08,0.3143073841699885,20001_1061
Rgl_CB_2,3.312807296564948e-08,6.981527248640576e-08,0.3175679912666791,20001_1061
Neur_CB_GABA_1,1.4388758986431357e-07,3.056294934525701e-07,0.3188950252931226,20001_1061
Neur_GABA_1,9.228226587345848e-08,2.007318177588963e-07,0.3228553254645085,20001_1061
Neur_Gly_3,5.29654919562422e-08,1.162819943354141e-07,0.3243777418878246,20001_1061
Neur_GABA_2,1.2886223867618153e-07,2.9332530278893776e-07,0.3302166123212512,20001_1061
Rgl_MB_1,4.212847694325099e-08,9.742584342005505e-08,0.3327196074586475,20001_1061
Rgl_Tel_dorsal,3.4072093992154416e-08,9.185943202346843e-08,0.3553502073154372,20001_1061
Rgl_CB_1,2.706932150769793e-08,1.06303930104306e-07,0.3995002584610998,20001_1061
Neur_HB_Glut,2.4266336274019107e-08,1.0207363846079884e-07,0.406043850410422,20001_1061
Neur_Gly_8,6.000658206709734e-08,2.5422249705981404e-07,0.4067009624510206,20001_1061
Neur_Tel_Glut_PCNA,2.7258937383189396e-08,1.4579896242744537e-07,0.4258450205966376,20001_1061
Neur_SER,2.2427847564305865e-08,1.3977960676321244e-07,0.4362627120013951,20001_1061
PreOPC,1.1072950432642013e-08,1.0317900813855429e-07,0.4572684077519229,20001_1061
Gbl_MB,5.329805287086414e-08,5.285526509793412e-07,0.4598396351090968,20001_1061
Neur_Glut_1,-6.690092798752241e-09,2.5541455732174784e-07,0.510448330553598,20001_1061
Neur_GABA_3,-5.944719521256429e-09,1.7618107211811433e-07,0.5134585968162747,20001_1061
Neur_CB_NBL_1,-5.1235891802317025e-09,6.560329369569149e-08,0.5311255763008452,20001_1061
End_early_1,-9.415558017327494e-09,1.2052911077558e-07,0.531133119788355,20001_1061
End_1,-9.342867066765204e-09,8.30861035050839e-08,0.5447659052251672,20001_1061
Neur_GABA_IPC,-5.445020920789696e-08,4.0885478845261043e-07,0.552973449879897,20001_1061
