Name,Coefficient,Coefficient_std_error,Coefficient_P_value,Phenotype
Neur_HB_IPC_1,-5.7282614813104335e-08,5.0179723478248835e-08,0.8731792402120782,3064
Neur_CB_NBL_1,-5.6914680247385635e-08,4.9061597928274207e-08,0.8769889847858209,3064
Gbl_HB_4,-1.879587541009639e-07,1.566990324185444e-07,0.8848310559000871,3064
Neur_MB_Glut_NBL_2,-8.921018393637419e-08,7.086531943499946e-08,0.8959612504959032,3064
Neur_MB_GABA_TAL2,-8.03238425249802e-08,6.229037915310963e-08,0.901388953454207,3064
Rgl_CB_3,-1.3385223891983452e-07,1.002416404417915e-07,0.9091102194841928,3064
Neur_CB_IPC_1,-1.5144999862930756e-07,1.0599530124653267e-07,0.92347444280723,3064
Neur_Gly_4,-1.7019420019057453e-07,1.0729650525509808e-07,0.9436535370980688,3064
Neur_Gly_5,-2.3296867073605333e-07,1.4342624704598306e-07,0.9478451556110278,3064
Neur_GABA_2,-2.7760399744693444e-07,1.6962899443771676e-07,0.9491362966789184,3064
Rgl_CB_2,-7.877849230793899e-08,4.693366629370702e-08,0.953375927636871,3064
Neur_Gly_2,-1.4636013829505045e-07,8.522239943725475e-08,0.9570460759121534,3064
Neur_MB_Glut,-1.433715976350069e-07,7.782500363117177e-08,0.9672792817129676,3064
Neur_Purk_prog,-8.16081183473457e-08,4.321929635143105e-08,0.9705026872641258,3064
Mic_3,-8.097739055936164e-08,4.1228442774016383e-08,0.9752416041406766,3064
Mic_dividing,-8.445432512736437e-08,4.243753248447741e-08,0.9767092502752776,3064
Neur_Purk_3,-1.1279661987165624e-07,5.4131161526314826e-08,0.9814092258404056,3064
Mic_2,-8.965587782524069e-08,4.1745022334583104e-08,0.9841312911978491,3064
Mic_active_2,-9.75313425095577e-08,4.35209611484988e-08,0.9874876088620036,3064
Mic_1,-9.532403272386968e-08,4.1900121357450855e-08,0.9885479346159788,3064
Neur_MB_Glut_NBL_1,-1.1120689255531881e-07,4.8186870137998646e-08,0.9894955808062044,3064
Mic_4,-9.809658704436509e-08,4.227810022303994e-08,0.9898368488857936,3064
Neur_Purk_NBL_2,-1.1375829758223065e-07,4.76684526618461e-08,0.9914940003117688,3064
