,tSNE1,tSNE2
E291_295,4.8144026,-3.8000886
E292_340,4.8973546,-2.6041164
E293_9,-21.501284,14.077725
E294_288,1.6362382,-0.47570214
E295_289,6.587914,-3.7821372
E296_68,-15.356037,13.620304
E297_231,-3.9425955,-0.76284665
E298_381,8.99995,-4.767557
E299_79,-16.352594,7.3969684
E300_423,14.281476,-6.912932
E301_285,6.3264456,-4.818943
E302_313,7.531513,-4.14793
E303_154,-16.141148,2.4181564
E304_125,-11.841652,10.093781
E305_344,12.111328,-5.3632545
E306_448,16.018816,-7.4468145
E307_125,-17.691185,2.7083669
E308_16,-19.585026,14.448823
E309_310,2.8985941,1.0010177
E310_328,10.156302,-9.588359
E311_319,4.4166894,-4.655652
E312_425,15.23983,-7.279923
E313_429,15.257462,-3.6417644
E314_490,16.348318,-8.329749
E315_455,15.004737,-7.14496
E316_235,-6.279792,-0.70644987
E317_294,-0.3231255,1.6051967
E318_171,-13.723304,6.7929316
E319_443,14.845797,-7.7969217
E320_189,-7.609889,0.1535406
E321_75,-14.824797,12.825852
E322_406,14.962081,-6.4804254
E323_350,12.909957,-7.5248466
E324_340,16.48012,-2.4080443
E325_154,-11.810144,9.942708
E326_104,-13.338513,10.86966
E327_419,5.067115,-0.06750112
E328_103,-18.338854,2.7137182
E329_320,8.814278,-3.3198776
E330_480,14.3874,-7.125652
E331_134,-17.54602,2.0598006
E332_22,-18.03838,14.781817
E333_434,14.170367,-7.488141
E334_343,14.342419,-1.8796371
E335_19,-18.788065,14.480145
E336_169,-13.027953,1.8252475
E337_371,14.763202,-5.746217
E338_11,-21.029993,14.223541
E339_268,9.511519,-5.326289
E340_8,-21.732435,13.998015
E341_288,11.857796,-4.9528084
E342_458,13.371635,-5.37163
E343_414,17.023846,-9.547263
E344_451,15.713037,-6.7480288
E345_257,-3.322221,-0.22656804
E346_246,7.217068,-1.0695864
E347_231,3.6364956,-0.2660106
E348_72,-15.830187,13.783613
E349_477,13.568948,-7.0652246
E350_8,-21.733683,13.99393
E351_93,-15.753962,7.078679
E352_383,12.487977,-7.8325195
E353_74,-13.978177,13.460525
E354_366,6.02999,-4.338395
E355_417,12.7312765,-9.52405
E356_338,6.2878494,-3.3710752
E357_162,-15.414648,2.6651337
E358_302,1.6170702,2.1285644
E359_65,-16.151968,9.497626
E360_36,-16.13484,14.738761
E361_134,-11.8734865,9.853886
E362_215,-6.015215,1.0711337
E363_73,-15.655279,11.910013
E364_226,-7.8168654,0.07094773
E365_36,-16.195606,14.422937
E366_55,-15.592055,14.9101305
E367_380,9.310489,-3.9536817
E368_95,-14.072786,8.400037
E369_345,13.231899,-7.4844403
E370_419,15.0670395,-4.9171834
E371_103,-15.559594,4.626293
E372_218,-7.3394556,-1.587311
E373_263,0.4263764,2.0208645
E374_291,6.8661084,-1.6707194
E375_220,-2.4075222,-0.26213327
E376_453,16.800785,-9.069195
E377_31,-16.468172,14.862378
E378_239,6.3570943,-2.588105
E379_129,-13.232594,9.007352
E380_466,13.393387,-11.127273
E381_39,-16.050795,14.685929
E382_315,8.472543,-6.189128
E383_60,-13.98156,12.782143
E384_446,14.493659,-5.5954266
E385_257,-1.8419728,0.67936313
E386_220,1.4121331,-0.28110874
E387_115,-17.904776,2.231697
E388_302,1.2090155,1.3775724
E389_404,14.24092,-6.412003
E390_105,-16.521755,6.047827
E391_428,10.094947,-8.924508
E392_233,6.327581,-0.61477226
E393_269,2.4706056,-2.0163481
E394_140,-18.236195,2.183217
E395_415,13.344475,-6.51839
E396_153,-7.7069383,0.002269319
E397_480,15.818209,-5.14685
E398_301,6.236787,-3.316728
E399_413,5.714038,-3.1840358
E400_251,-4.9103446,-0.63498914
E401_56,-15.7565365,14.432646
E402_292,-1.0985621,0.0045738593
E403_266,-6.4258847,-2.0231655
E404_177,-5.3612056,-2.1685789
E405_93,-17.234219,3.5730844
E406_466,13.128089,-6.6288333
E407_156,-12.028685,2.5112877
E408_453,6.6608343,-2.3263924
E409_112,-18.155228,2.3625817
E410_52,-16.324411,13.314397
E411_247,-1.0302252,-2.6689873
E412_103,-13.780904,8.386312
E413_263,-8.362124,1.6996211
E414_70,-16.352068,8.538058
E415_291,5.1840434,-1.6854153
E416_314,14.783901,-7.72283
E417_452,14.827754,-7.4737167
E418_311,7.7044187,-3.056271
E419_41,-16.079676,14.529308
E420_423,15.985211,-8.205074
E421_476,18.044859,-5.385656
E422_402,10.869631,-8.440076
E423_490,17.633196,-10.962194
E424_201,-7.5500464,-1.34857
E425_273,-3.4399536,-0.08266187
E426_343,16.465715,-7.1779056
E427_346,5.2958546,-1.1224126
E428_221,-1.5765792,3.4121268
E429_195,-0.5697876,1.7380425
E430_324,17.150154,-8.764182
E431_54,-16.268349,14.198694
E432_158,-4.634222,1.1958959
E433_17,-19.479174,14.501348
