Gene,CB_Exc,HB_Exc,Tel_Exc,MB_Inh,Purkinje
ZNF98,0.00029787022787072434,0.0006740217815459931,0.004630622132658749,0.001692203556704203,0.0010920096096845653
ZNF225,0.0025815419748796108,0.003015360601653127,0.0041589846932212834,0.0035997784751707587,0.003556831300115441
ZNF10,0.04463088914263019,0.03685834900138352,0.0482356472151953,0.03485939326810658,0.031699478955414806
ZC3H11A,0.048503202104949614,0.05431196566036397,0.09248381426060112,0.05821180235062458,0.049764437927053755
FOXC1,0.0011418358735044432,0.0031572599240838623,0.002572567851477083,0.0006153467478924373,0.0005148045302798665
AHRR,0.0011418358735044432,0.0010642449182305155,0.0013291600565964927,0.0009230201218386561,0.0019968175719946336
GMEB1,0.012907709874398054,0.015431551314342474,0.024610899112464092,0.013506861116239001,0.02032697887741412
ZNF275,0.002780122126793427,0.004469828656568165,0.0036873472537838187,0.0019998769306504216,0.0030264266325543666
ZSCAN21,0.006702080127091298,0.008443009684628756,0.010676156583629894,0.0060611654667405085,0.007675267542354373
MIER2,0.00685101524102666,0.008336585192805704,0.0124340779488059,0.005691957418005046,0.006255655049764438
PGR,0.00044680534180608646,0.0003192734754691546,0.0002572567851477083,0.00015383668697310933,0.00017160151009328883
ZNF701,0.009134686988035545,0.010003902231366844,0.014234875444839857,0.007107254938157652,0.007035661913824842
THAP3,0.0024326068609442485,0.0033346340771222816,0.005145135702954166,0.0022767829672020183,0.004040435555832891
OSR1,0.00014893511393536217,0.0007094966121536769,0.00012862839257385414,3.076733739462187e-05,9.360082368724845e-05
ZBED5,0.007446755696768108,0.011103621980205045,0.021309437036401833,0.01596824810780875,0.007706467816916789
SNAI1,0.0005957404557414487,0.0007804462733690447,0.0006860180937272221,0.00024613869915697496,0.0001872016473744969
SMAD5,0.02596435486273147,0.02813154067189329,0.042876130857951375,0.02861362377699834,0.02828304889083024
NFE2L1,0.009233977063992455,0.014402781226719643,0.016721691034601038,0.0075995323364716014,0.009594084427942965
HIF3A,0.014595641165665491,0.004540778317783533,0.012348325687089996,0.005230447357085718,0.004368038438738261
ZNF616,0.005212728987737675,0.004966476285075739,0.009432748788749303,0.0053227493692695835,0.004414838850581885
FOXI3,9.92900759569081e-05,7.09496612153677e-05,0.0,0.0,9.360082368724845e-05
ZIC2,0.35228118949510995,0.3213310156444003,0.01273421086481156,0.03492092794289582,0.0940844279429659
ZNF394,0.009631137367820087,0.009081556635567065,0.015049521931140933,0.01199926158390253,0.012433309413122836
FOXH1,9.92900759569081e-05,0.00024832381425378696,8.575226171590276e-05,6.153467478924374e-05,0.0002964026083429534
SMARCE1,0.028794122027503352,0.039341587143921386,0.054838571367319816,0.03547474001599901,0.038875542104770525
TP63,0.0007446755696768108,0.0004256979672922062,0.0008575226171590275,0.00015383668697310933,0.00045240398115503416
TEAD2,0.01077297324132453,0.011280996133243465,0.01650731038031128,0.005076610670112608,0.0019656172974322175
HESX1,0.002879412202750335,0.002022065344637979,0.0018865497577498606,0.0009845547966278998,0.0007956070013416118
MNT,0.004468053418060865,0.006704742984852247,0.008961111349311839,0.003384407113408406,0.0054912483229852425
IRF3,0.0047659236459315895,0.005463123913583313,0.0045877460018007975,0.0027690603655159685,0.0029640260834295344
ZNF496,0.013652385444074865,0.01944020717301075,0.03237147879775329,0.014983693311180851,0.012682911609622165
ZNF189,0.010326167899518443,0.017560041150803504,0.019337135016936072,0.00836871577133715,0.009266481545037597
PPP1R13L,0.0012907709874398054,0.0008513959345844124,0.0011147794023067359,0.0002769060365515968,0.0005148045302798665
TBX20,0.0004964503797845406,0.00046117279789989,0.0012862839257385414,0.00012306934957848748,9.360082368724845e-05
ZNF880,0.006304919823263665,0.007662563411259711,0.01153367920078892,0.008245646421758662,0.00842407413185236
ZBTB26,0.004219828228168594,0.007627088580652027,0.00840372164815847,0.007322626299920005,0.003712832672927522
ZNF561,0.008538946532294098,0.009400830111036219,0.00994726235904472,0.0067995815642114335,0.00794046987613491
CSRNP2,0.012659484684505784,0.02341338820107134,0.03370063885434978,0.017568149652329088,0.02575582665127453
