Gene,CB_Exc,HB_Exc,Tel_Exc,MB_Inh,Purkinje
CAMTA1,0.4527574,0.8264124,0.5753319,0.8149787,1.0
NPAS4,0.24065559,0.28552705,1.0,0.29547682,0.13982949
GLIS1,0.13042402,0.40385377,0.39048955,0.17243695,1.0
RUNX1T1,0.9221008,0.38802862,0.3708023,1.0,0.9564718
ZNF607,0.45308003,0.7554334,1.0,0.21839592,0.60113025
HOXD4,0.033320095,1.0,0.0,0.0,0.10470293
NFKBIL1,0.699722,1.0,0.9064765,0.43365023,0.6596284
HOXA6,0.0,1.0,0.6043176,0.0,0.21987614
ZNF551,0.0,0.66190356,1.0,0.86110395,0.5821472
SEBOX,0.0,0.0,1.0,0.0,0.0
GBX2,0.12239793,0.524771,0.18499152,0.16119333,1.0
LHX8,0.29636875,0.4470828,0.34128,1.0,0.08278133
ZNF675,0.37321478,0.54415834,1.0,0.841029,0.6413861
TLX1,0.93296266,1.0,0.0,0.86730045,0.8795045
ZIM2,0.3910168,0.4350287,0.43602186,1.0,0.9316391
ZNF285,0.25874507,0.49561152,0.71074665,1.0,0.77353996
ZNF85,0.5789357,0.768281,1.0,0.9738676,0.8576276
SPZ1,0.0,1.0,0.0,0.0,0.43975228
LHX4,0.7313966,1.0,0.9549711,0.68884355,0.83245283
ZNF324B,0.9957582,1.0,0.6972896,0.7005119,0.78648
ZNF382,0.53209615,0.7738274,1.0,0.8406678,0.8995964
ZNF540,0.3000242,0.44904184,0.56464314,1.0,0.9268293
NCOA6,0.4114515,0.7416052,1.0,0.8830485,0.8890207
CREB3L3,0.22731043,0.64971644,0.19631755,0.0,1.0
ZSCAN10,0.0,0.28425094,0.34355572,0.24653098,1.0
ZNF490,0.766535,0.7726052,1.0,0.9659499,0.884884
TFDP1,0.7263316,0.7721141,1.0,0.44875214,0.6350505
ZNF821,0.42731237,0.7565704,0.70328933,1.0,0.7976236
VSX2,0.04288412,0.45965526,1.0,0.13288642,0.35036638
EVX1,1.0,0.7145695,0.43182695,0.0,0.0
ZNF664,0.43006644,0.7091824,1.0,0.45105442,0.5509607
FOXB2,0.0,0.0,0.0,0.0,1.0
FOXE1,0.0,0.0,0.68711144,0.49306196,1.0
NKX2-8,0.0,0.7686686,0.0,1.0,0.0
ATF2,0.70222,0.60602504,1.0,0.9082166,0.7796875
PURG,0.7529387,0.90979266,0.6892309,0.8551614,1.0
LHX3,0.0,1.0,0.4834541,0.0,0.26385134
HIC2,0.37933648,1.0,0.851505,0.9075416,0.737216
PHOX2B,0.008638543,1.0,0.08952854,0.29445386,0.40446353
HOXA13,0.0,1.0,0.0,0.0,0.21987614
HOXB5,0.0,1.0,0.0,0.0,0.1256435
PEG3,0.13428596,0.45084396,0.25956666,1.0,0.7240496
