Name,Coefficient,Coefficient_std_error,Coefficient_P_value,Phenotype
Neur_GABA_1,1.6925991697026934e-06,6.419390667198389e-07,0.0041858717905127,ANO
Neur_MB_Glut,6.741070515971615e-07,2.5824872368637097e-07,0.0045231216770935,ANO
Neur_Purk_NBL_1,4.891142519909547e-07,1.8745586622267008e-07,0.0045373974768673,ANO
Neur_Purk_5,4.5074655240465974e-07,1.873684623400217e-07,0.0080714357383872,ANO
Neur_late,1.4805001208591217e-06,6.162941960580215e-07,0.0081470170518765,ANO
Neur_CB_NBL_1,4.971556305544666e-07,2.0761523461163897e-07,0.0083192320858839,ANO
Neur_CB_IPC_1,8.019289608145128e-07,3.358573083037849e-07,0.0084769182053003,ANO
Rgl_CB_VZ,9.78437670739746e-07,4.125421069960581e-07,0.0088525593652548,ANO
OPC_4,4.605221213595422e-07,2.001171710867153e-07,0.0106884018515134,ANO
Rgl_Tel_ventral,6.936752180407452e-07,3.030283794169616e-07,0.0110355298019882,ANO
Rgl_MB_2,6.148962171755616e-07,2.690397943099097e-07,0.01114113546879,ANO
Neur_HB_NBL,1.0816370965078713e-06,4.895413276513905e-07,0.0135702581951569,ANO
Neur_Int_MGE,6.170573706672883e-07,2.913088837114671e-07,0.0170780650416863,ANO
Neur_MB_Glut_NBL_2,5.282187039045545e-07,2.5450033601430825e-07,0.0189695171028578,ANO
Neur_Gly_7,1.7499541097794931e-06,8.587864260552254e-07,0.0207896802448827,ANO
Rgl_MB_1,6.592028258225986e-07,3.241827410478697e-07,0.021004562782691,ANO
Neur_HB_GABA_1,7.531456042061929e-07,3.754656734865363e-07,0.0224335998539536,ANO
Neur_DRG_1,8.436068023387388e-07,4.285490751346847e-07,0.024504202166791,ANO
Neur_MB_GABA_1,3.954268270732121e-07,2.0252043410873283e-07,0.0254377723834438,ANO
Neur_Gly_8,1.1253921878491304e-06,5.78765739053568e-07,0.0259194444831308,ANO
Neur_DA,5.296601724140722e-07,2.729673371412443e-07,0.0261668047789478,ANO
Gbl_HB_4,1.199953093416246e-06,6.195052360493869e-07,0.026375488397431,ANO
PreOPC_1,8.287432073700561e-07,4.485223362810598e-07,0.0323215076445959,ANO
Rgl_Tel_1,8.42205234078642e-07,4.633294423955616e-07,0.0345531330048996,ANO
Rgl_CB_2,3.182499364926565e-07,1.7589703913350577e-07,0.0352024589158766,ANO
OPC_6,3.803255112417609e-07,2.119366177436337e-07,0.0363647239407941,ANO
Rgl_CB_1,4.887673395761238e-07,2.786510245101655e-07,0.0397111206540413,ANO
Neur_SER,8.054277740486037e-07,4.594227046812141e-07,0.0397898386146627,ANO
OPC_5,4.149514388643846e-07,2.465258970049836e-07,0.04616856367061,ANO
Rgl_CB_3,6.084443429713703e-07,3.933644972333713e-07,0.0609593768754012,ANO
Gbl_Di,5.287556648492174e-07,3.450516683993672e-07,0.0627124190007732,ANO
Rgl_Tel_2,9.248268535776376e-07,6.168826311601824e-07,0.0669116315556996,ANO
Neur_Gly_3,3.859847947217925e-07,2.7947428423674865e-07,0.0836225343527766,ANO
Neur_MB_GABA_TFAP2B,3.8075814029851305e-07,2.764990164632139e-07,0.0842455048235813,ANO
Neur_MB_GABA_2,3.417929675058136e-07,2.594378620753123e-07,0.093846138702309,ANO
Neur_Tel_Glut_NBL_1,3.260228167187864e-07,2.6397234229123605e-07,0.1084032868711381,ANO
Neur_MB_GABA_IPC,9.921092321509595e-07,8.231976007079879e-07,0.114065047597961,ANO
Neur_GABA_2,1.0433179502071075e-06,8.74604028859981e-07,0.1164536417066598,ANO
OPC_3,3.682748845185797e-07,3.224525741312259e-07,0.1267050679535731,ANO
Rgl_Tel_dorsal,2.775927933744501e-07,2.442901657220569e-07,0.127910482051494,ANO
OPC_2,3.536529825773429e-07,3.233509002304334e-07,0.1370405036719986,ANO
VZ_prog,2.465688358149378e-07,2.335364040103469e-07,0.1455287224769523,ANO
Neur_Tel_Glut_PCNA,3.932304474526086e-07,3.749899519395583e-07,0.1471713150803463,ANO
Neur_HB_Glut_2,3.86871049700686e-07,3.756709336101812e-07,0.1515487494199387,ANO
OPC_1,6.603656098382226e-07,6.758707452353741e-07,0.1642699664071137,ANO
Neur_Purk_NBL_2,1.870352075525344e-07,1.918625692123348e-07,0.1648199446087374,ANO
Neur_Gly_4,3.580801881861141e-07,3.744467397742236e-07,0.1694625227469937,ANO
COP,1.7295620039673354e-07,1.9801494984406777e-07,0.1912088656065125,ANO
PreOPC_2,2.8682515613582765e-07,3.3114811510568826e-07,0.1932029474208466,ANO
Neur_HB_Glut,2.567070823590223e-07,3.008686678763139e-07,0.1967687331430599,ANO
Gbl_CB_VZ,1.443768415461728e-07,1.9078969056778904e-07,0.2246049410227874,ANO
PreOPC,1.615218867462202e-07,2.538357866065335e-07,0.2622825252024242,ANO
Neur_Gly_2,2.067091601619397e-07,3.3738929753710774e-07,0.2700464392719917,ANO
Neur_CB_GNP_IPC_1,6.865952185932005e-08,1.1705820167871349e-07,0.2787557586767264,ANO
Neur_CB_GNP_IPC_3,8.110998650162713e-08,1.442833933951141e-07,0.2870043697777906,ANO
Neur_Glut_1,3.924208497438706e-07,7.060278371960527e-07,0.2891686711853799,ANO
VLMC_MGP_1,1.5571429119304202e-07,3.0722276387152e-07,0.3061318244551766,ANO
Gbl_CB_1,1.2362448559313205e-07,2.559462069769669e-07,0.3145444453136014,ANO
Per_5,9.068510309873777e-08,1.8805854005466002e-07,0.314825753317239,ANO
Neur_DRG_2,2.3172654357742575e-07,5.031455887098111e-07,0.3225587184074731,ANO
Gbl_MB,3.48213086069015e-07,9.591062896694875e-07,0.358280049012867,ANO
Neur_CB_GNP_IPC_4,4.302101470456409e-08,1.5603474846544764e-07,0.391383747683907,ANO
Neur_GABA_3,1.1737703549673413e-07,4.41274887063171e-07,0.3951214235027441,ANO
Neur_Tel_Glut_SATB2_2,3.8783640808228055e-08,1.823466977819289e-07,0.4157836955888568,ANO
Per_4,3.256692080213203e-08,1.994986173038051e-07,0.4351632240375379,ANO
Gbl_late,2.8350478671777237e-08,1.14111237802493e-06,0.4900894588540666,ANO
